Organizational Set Name|Organizational Set Description|Org Set Type|Job in Org Set
FG-RT-10408209|Fund Group Org Set Reports to 10408209|All|UCSDH/Medical Center/Facilities/4200867/867
FG-RT-10408210|Fund Group Org Set Reports to 10408210|All|UCSDH/Medical Center/CV - Clinical Administration/4200915/915
FG-RT-10408230|Fund Group Org Set Reports to 10408230|All|UCSDH/Medical Center/Lab/4200723/723
FG-RT-10408250|Fund Group Org Set Reports to 10408250|All|UCSDH/Medical Center/Revenue Cycle/4200962/962
FG-RT-10408292|Fund Group Org Set Reports to 10408292|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10408296|Fund Group Org Set Reports to 10408296|All|UCSDH/Medical Center/CVC - Pulmonology/4200220/220
FG-RT-10408319|Fund Group Org Set Reports to 10408319|All|UCSDH/Medical Center/Revenue Cycle/4200962/962
FG-RT-10408472|Fund Group Org Set Reports to 10408472|All|UCSDH/Medical Center/Information Services/4200851/851
FG-RT-10408472|Fund Group Org Set Reports to 10408472|All|UCSDH/PHSO/IS/4441039/2792
FG-RT-10408475|Fund Group Org Set Reports to 10408475|All|UCSDH/Health Physician Group/Faculty Practice/4310032/2878
FG-RT-10408486|Fund Group Org Set Reports to 10408486|All|UCSDH/Medical Center/Finance/4200904/904
FG-RT-10408487|Fund Group Org Set Reports to 10408487|All|UCSDH/Health Physician Group/Faculty Practice/4310053/2669
FG-RT-10408487|Fund Group Org Set Reports to 10408487|All|UCSDH/Medical Center/Women and Infants/4200209/209
FG-RT-10408487|Fund Group Org Set Reports to 10408487|All|UCSDH/Medical Center/Women and Infants/4200259/259
FG-RT-10408515|Fund Group Org Set Reports to 10408515|All|UCSDH/Medical Center/EVS/4200362/362
FG-RT-10408522|Fund Group Org Set Reports to 10408522|All|UCSDH/Medical Center/EJ - Operations Support/4200395/395
FG-RT-10408522|Fund Group Org Set Reports to 10408522|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200670/670
FG-RT-10408538|Fund Group Org Set Reports to 10408538|All|UCSDH/Medical Center/Perioperative/4200153/153
FG-RT-10408561|Fund Group Org Set Reports to 10408561|All|UCSDH/Medical Center/Nursing/4200308/308
FG-RT-10408561|Fund Group Org Set Reports to 10408561|All|UCSDH/Medical Center/Nursing/4200309/309
FG-RT-10408565|Fund Group Org Set Reports to 10408565|All|UCSDH/Medical Center/Nursing - Women and Infants/4200611/611
FG-RT-10408565|Fund Group Org Set Reports to 10408565|All|UCSDH/Medical Center/Nursing - Women and Infants/4200705/705
FG-RT-10408565|Fund Group Org Set Reports to 10408565|All|UCSDH/Medical Center/Nursing - Women and Infants/4200710/710
FG-RT-10408570|Fund Group Org Set Reports to 10408570|All|UCSDH/Health Physician Group/Faculty Practice/4310074/2025
FG-RT-10408570|Fund Group Org Set Reports to 10408570|All|UCSDH/Medical Center/General Hospital/4200931/931
FG-RT-10408570|Fund Group Org Set Reports to 10408570|All|UCSDH/Medical Center/Information Services/4200830/830
FG-RT-10408570|Fund Group Org Set Reports to 10408570|All|UCSDH/PHSO/IS/4441040/2723
FG-RT-10408578|Fund Group Org Set Reports to 10408578|All|UCSDH/Medical Center/General Hospital/4200995/995
FG-RT-10408578|Fund Group Org Set Reports to 10408578|All|UCSDH/Medical Center/Nursing - Women and Infants/4200611/611
FG-RT-10408578|Fund Group Org Set Reports to 10408578|All|UCSDH/Medical Center/Nursing - Women and Infants/4200705/705
FG-RT-10408578|Fund Group Org Set Reports to 10408578|All|UCSDH/Medical Center/Nursing - Women and Infants/4200710/710
FG-RT-10408598|Fund Group Org Set Reports to 10408598|All|UCSDH/Medical Center/Lab/4200179/179
FG-RT-10408606|Fund Group Org Set Reports to 10408606|All|UCSDH/Medical Center/FNS/4200495/495
FG-RT-10408606|Fund Group Org Set Reports to 10408606|All|UCSDH/Medical Center/FNS/4200800/800
FG-RT-10408606|Fund Group Org Set Reports to 10408606|All|UCSDH/Medical Center/FNS/4200948/948
FG-RT-10408765|Fund Group Org Set Reports to 10408765|All|UCSDH/Medical Center/Supply Chain/4200871/871
FG-RT-10408767|Fund Group Org Set Reports to 10408767|All|UCSDH/Health Physician Group/Faculty Practice/4310152/2582
FG-RT-10408791|Fund Group Org Set Reports to 10408791|All|UCSDH/Medical Center/Nursing - Women and Infants/4200767/767
FG-RT-10408808|Fund Group Org Set Reports to 10408808|All|UCSDH/Medical Center/Nursing/4200967/967
FG-RT-10408879|Fund Group Org Set Reports to 10408879|All|UCSDH/Medical Center/FNS/4200351/351
FG-RT-10408879|Fund Group Org Set Reports to 10408879|All|UCSDH/Medical Center/FNS/4200352/352
FG-RT-10408882|Fund Group Org Set Reports to 10408882|All|UCSDH/Medical Center/Nursing/4200969/969
FG-RT-10408928|Fund Group Org Set Reports to 10408928|All|UCSDH/Health Physician Group/Faculty Practice/4310108/2530
FG-RT-10409070|Fund Group Org Set Reports to 10409070|All|UCSDH/Medical Center/CVC - Pulmonology/4200446/446
FG-RT-10409090|Fund Group Org Set Reports to 10409090|All|UCSDH/Medical Center/FNS/4200803/803
FG-RT-10409090|Fund Group Org Set Reports to 10409090|All|UCSDH/Medical Center/FNS/4200804/804
FG-RT-10409124|Fund Group Org Set Reports to 10409124|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10409124|Fund Group Org Set Reports to 10409124|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10409124|Fund Group Org Set Reports to 10409124|All|UCSDH/Medical Center/Transplant/4200749/749
FG-RT-10409124|Fund Group Org Set Reports to 10409124|All|UCSDH/Medical Center/Transplant/4200755/755
FG-RT-10409146|Fund Group Org Set Reports to 10409146|All|UCSDH/Medical Center/Perioperative/4200150/150
FG-RT-10409156|Fund Group Org Set Reports to 10409156|All|UCSDH/Health Physician Group/Faculty Practice/4310023/2033
FG-RT-10409156|Fund Group Org Set Reports to 10409156|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10409156|Fund Group Org Set Reports to 10409156|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200316/316
FG-RT-10409163|Fund Group Org Set Reports to 10409163|All|UCSDH/Medical Center/Supply Chain/4200173/173
FG-RT-10409163|Fund Group Org Set Reports to 10409163|All|UCSDH/Medical Center/Supply Chain/4200847/847
FG-RT-10409163|Fund Group Org Set Reports to 10409163|All|UCSDH/Medical Center/Supply Chain/4200871/871
FG-RT-10409210|Fund Group Org Set Reports to 10409210|All|UCSDH/Medical Center/Nursing/4200156/156
FG-RT-10409234|Fund Group Org Set Reports to 10409234|All|UCSDH/Medical Center/Lab/4200730/730
FG-RT-10409327|Fund Group Org Set Reports to 10409327|All|UCSDH/Medical Center/Information Services/4200856/856
FG-RT-10409327|Fund Group Org Set Reports to 10409327|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10409332|Fund Group Org Set Reports to 10409332|All|UCSDH/Medical Center/Information Services/4200364/364
FG-RT-10409333|Fund Group Org Set Reports to 10409333|All|UCSDH/Medical Center/Pharmacy/4200753/753
FG-RT-10409393|Fund Group Org Set Reports to 10409393|All|UCSDH/Medical Center/Oncology/4200193/193
FG-RT-10409399|Fund Group Org Set Reports to 10409399|All|UCSDH/Medical Center/Nursing/4200625/625
FG-RT-10409428|Fund Group Org Set Reports to 10409428|All|UCSDH/Medical Center/Revenue Cycle/4200825/825
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200315/315
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200194/194
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200310/310
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/MJ - Outpatient Clinics/4200656/656
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/Oncology/4200198/198
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/Oncology/4200282/282
FG-RT-10409430|Fund Group Org Set Reports to 10409430|All|UCSDH/Medical Center/Perioperative/4200639/639
FG-RT-10409447|Fund Group Org Set Reports to 10409447|All|UCSDH/Medical Center/Experience/4200916/916
FG-RT-10409447|Fund Group Org Set Reports to 10409447|All|UCSDH/Medical Center/Experience/4200959/959
FG-RT-10409598|Fund Group Org Set Reports to 10409598|All|UCSDH/Medical Center/Radiology/4200203/203
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/EHS/4200840/840
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/Enterprise Support/4200997/997
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/EVS/4200362/362
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/Facilities/4200849/849
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/Facilities/4200852/852
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/Facilities/4200861/861
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/FNS/4200800/800
FG-RT-10409632|Fund Group Org Set Reports to 10409632|All|UCSDH/Medical Center/Security/4200843/843
FG-RT-10409646|Fund Group Org Set Reports to 10409646|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10409646|Fund Group Org Set Reports to 10409646|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10409727|Fund Group Org Set Reports to 10409727|All|UCSDH/Health Physician Group/Faculty Practice/4310031/2855
FG-RT-10409727|Fund Group Org Set Reports to 10409727|All|UCSDH/Health Physician Group/Faculty Practice/4310080/2856
FG-RT-10409727|Fund Group Org Set Reports to 10409727|All|UCSDH/Health Physician Group/Faculty Practice/4310136/2892
FG-RT-10410041|Fund Group Org Set Reports to 10410041|All|UCSDH/Medical Center/Pharmacy/4200733/733
FG-RT-10410050|Fund Group Org Set Reports to 10410050|All|UCSDH/Medical Center/International/4200385/385
FG-RT-10410053|Fund Group Org Set Reports to 10410053|All|UCSDH/Medical Center/Compliance/4200882/882
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/CVC - Cardiovascular/4200242/242
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200130/130
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200135/135
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200137/137
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200236/236
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200237/237
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200238/238
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200392/392
FG-RT-10410099|Fund Group Org Set Reports to 10410099|All|UCSDH/Medical Center/Nursing/4200647/647
FG-RT-10410117|Fund Group Org Set Reports to 10410117|All|UCSDH/Health Science/Information Services/3000195/6101
FG-RT-10410117|Fund Group Org Set Reports to 10410117|All|UCSDH/Medical Center/Information Services/4200850/850
FG-RT-10410168|Fund Group Org Set Reports to 10410168|All|UCSDH/Medical Center/Nursing/4200609/609
FG-RT-10410170|Fund Group Org Set Reports to 10410170|All|UCSDH/Medical Center/Revenue Cycle/4200937/937
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Health Physician Group/Community Care/4310182/2594
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Health Physician Group/Faculty Practice/4310037/2581
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Health Physician Group/Faculty Practice/4310045/2545
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Health Physician Group/Faculty Practice/4310048/2507
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Health Physician Group/Faculty Practice/4310182/2668
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/CAO TBD - Outpatient Clinics/4200681/681
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Medicine - Nephrology/4200781/781
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Pharmacy/4200210/210
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Pharmacy/4200275/275
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Pharmacy/4200733/733
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Pharmacy/4200766/766
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10410185|Fund Group Org Set Reports to 10410185|All|UCSDH/Medical Center/Transplant/4200749/749
FG-RT-10410192|Fund Group Org Set Reports to 10410192|All|UCSDH/Medical Center/Information Services/4200850/850
FG-RT-10410192|Fund Group Org Set Reports to 10410192|All|UCSDH/PHSO/IS/4441040/2723
FG-RT-10410238|Fund Group Org Set Reports to 10410238|All|UCSDH/Medical Center/Lab/4200180/180
FG-RT-10410238|Fund Group Org Set Reports to 10410238|All|UCSDH/Medical Center/Lab/4200450/450
FG-RT-10410238|Fund Group Org Set Reports to 10410238|All|UCSDH/Medical Center/Lab/4200453/453
FG-RT-10410238|Fund Group Org Set Reports to 10410238|All|UCSDH/Medical Center/Lab/4200721/721
FG-RT-10410238|Fund Group Org Set Reports to 10410238|All|UCSDH/Medical Center/Lab/4200732/732
FG-RT-10410280|Fund Group Org Set Reports to 10410280|All|UCSDH/Medical Center/Finance/4200834/834
FG-RT-10410280|Fund Group Org Set Reports to 10410280|All|UCSDH/Medical Center/Finance/4200901/901
FG-RT-10410280|Fund Group Org Set Reports to 10410280|All|UCSDH/Medical Center/Finance/4200933/933
FG-RT-10410281|Fund Group Org Set Reports to 10410281|All|UCSDH/Medical Center/Revenue Cycle/4200937/937
FG-RT-10410301|Fund Group Org Set Reports to 10410301|All|UCSDH/Medical Center/Information Services/4200921/921
FG-RT-10410301|Fund Group Org Set Reports to 10410301|All|UCSDH/Medical Center/Information Services/4200930/930
FG-RT-10410460|Fund Group Org Set Reports to 10410460|All|UCSDH/PHSO/CIN/4441000/2663
FG-RT-10410514|Fund Group Org Set Reports to 10410514|All|UCSDH/Medical Center/Perioperative/4200148/148
FG-RT-10410514|Fund Group Org Set Reports to 10410514|All|UCSDH/Medical Center/Perioperative/4200151/151
FG-RT-10410514|Fund Group Org Set Reports to 10410514|All|UCSDH/Medical Center/Perioperative/4200164/164
FG-RT-10410516|Fund Group Org Set Reports to 10410516|All|UCSDH/Medical Center/PT-OT/4200225/225
FG-RT-10410519|Fund Group Org Set Reports to 10410519|All|UCSDH/Health Science/Human Resources/3000219/0017
FG-RT-10410519|Fund Group Org Set Reports to 10410519|All|UCSDH/Health Science/Human Resources/3000219/0019
FG-RT-10410519|Fund Group Org Set Reports to 10410519|All|UCSDH/Health Science/Human Resources/3000219/012
FG-RT-10410521|Fund Group Org Set Reports to 10410521|All|UCSDH/Health Science/Information Services/3000195/6101
FG-RT-10410521|Fund Group Org Set Reports to 10410521|All|UCSDH/Medical Center/Information Services/4200851/851
FG-RT-10410589|Fund Group Org Set Reports to 10410589|All|UCSDH/Medical Center/Lab/4200721/721
FG-RT-10410589|Fund Group Org Set Reports to 10410589|All|UCSDH/Medical Center/Lab/4200722/722
FG-RT-10410607|Fund Group Org Set Reports to 10410607|All|UCSDH/Medical Center/Strategic/4200880/880
FG-RT-10410639|Fund Group Org Set Reports to 10410639|All|UCSDH/Medical Center/Information Services/4200851/851
FG-RT-10410663|Fund Group Org Set Reports to 10410663|All|UCSDH/Health Physician Group/Community Care/4310016/2712
FG-RT-10410663|Fund Group Org Set Reports to 10410663|All|UCSDH/Health Physician Group/Community Care/4310085/2703
FG-RT-10410663|Fund Group Org Set Reports to 10410663|All|UCSDH/Health Physician Group/Community Care/4310090/2693
FG-RT-10410663|Fund Group Org Set Reports to 10410663|All|UCSDH/Health Physician Group/Community Care/4310101/2733
FG-RT-10410674|Fund Group Org Set Reports to 10410674|All|UCSDH/Medical Center/Psychiatry/4200221/221
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Health Physician Group/CBCD/4310065/2521
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Medical Center/CVC - Pulmonology/4200214/214
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Medical Center/LM - Operations Support/4200786/786
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Medical Center/LM - Outpatient Clinics/4200241/241
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10410716|Fund Group Org Set Reports to 10410716|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10410776|Fund Group Org Set Reports to 10410776|All|UCSDH/Medical Center/Perioperative/4200795/795
FG-RT-10410802|Fund Group Org Set Reports to 10410802|All|UCSDH/Medical Center/International/4200385/385
FG-RT-10410807|Fund Group Org Set Reports to 10410807|All|UCSDH/Health Physician Group/Faculty Practice/4310046/2024
FG-RT-10410807|Fund Group Org Set Reports to 10410807|All|UCSDH/Medical Center/Information Services/4200848/848
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Health Science/Information Services/3000195/6101
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Medical Center/Information Services/4200364/364
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Medical Center/Information Services/4200760/760
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Medical Center/Information Services/4200923/923
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Medical Center/Information Services/4200930/930
FG-RT-10410831|Fund Group Org Set Reports to 10410831|All|UCSDH/Medical Center/Information Services/4200984/984
FG-RT-10411019|Fund Group Org Set Reports to 10411019|All|UCSDH/Medical Center/EVS/4200835/835
FG-RT-10411054|Fund Group Org Set Reports to 10411054|All|UCSDH/Medical Center/LM - Outpatient Clinics/4200321/321
FG-RT-10411158|Fund Group Org Set Reports to 10411158|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2508
FG-RT-10411158|Fund Group Org Set Reports to 10411158|All|UCSDH/Health Physician Group/Faculty Practice/4310158/2785
FG-RT-10411181|Fund Group Org Set Reports to 10411181|All|UCSDH/Medical Center/Information Services/4200850/850
FG-RT-10411184|Fund Group Org Set Reports to 10411184|All|UCSDH/Medical Center/CVC - Operations Support/4200952/952
FG-RT-10411298|Fund Group Org Set Reports to 10411298|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10411298|Fund Group Org Set Reports to 10411298|All|UCSDH/Medical Center/OPO-Tissue/4200778/778
FG-RT-10411305|Fund Group Org Set Reports to 10411305|All|UCSDH/Health Physician Group/Faculty Practice/4310046/2024
FG-RT-10411305|Fund Group Org Set Reports to 10411305|All|UCSDH/Medical Center/Information Services/4200914/914
FG-RT-10411347|Fund Group Org Set Reports to 10411347|All|UCSDH/Health Physician Group/Community Care/4310009/2725
FG-RT-10411347|Fund Group Org Set Reports to 10411347|All|UCSDH/Medical Center/Revenue Cycle/4200962/962
FG-RT-10411553|Fund Group Org Set Reports to 10411553|All|UCSDH/Medical Center/Revenue Cycle/4200960/960
FG-RT-10411624|Fund Group Org Set Reports to 10411624|All|UCSDH/Medical Center/Transplant/4200749/749
FG-RT-10411646|Fund Group Org Set Reports to 10411646|All|UCSDH/Health Physician Group/Faculty Practice/4310050/2469
FG-RT-10411646|Fund Group Org Set Reports to 10411646|All|UCSDH/Health Physician Group/Faculty Practice/4310052/2567
FG-RT-10411646|Fund Group Org Set Reports to 10411646|All|UCSDH/Health Physician Group/Faculty Practice/4310075/2591
FG-RT-10411667|Fund Group Org Set Reports to 10411667|All|UCSDH/Health Physician Group/Community Care/4310050/2681
FG-RT-10411709|Fund Group Org Set Reports to 10411709|All|UCSDH/Medical Center/Information Services/4200914/914
FG-RT-10411717|Fund Group Org Set Reports to 10411717|All|UCSDH/Medical Center/Supply Chain/4200173/173
FG-RT-10411717|Fund Group Org Set Reports to 10411717|All|UCSDH/Medical Center/Supply Chain/4200847/847
FG-RT-10411717|Fund Group Org Set Reports to 10411717|All|UCSDH/Medical Center/Supply Chain/4200870/870
FG-RT-10411756|Fund Group Org Set Reports to 10411756|All|UCSDH/Medical Center/Nursing/4200607/607
FG-RT-10411756|Fund Group Org Set Reports to 10411756|All|UCSDH/Medical Center/Nursing/4200609/609
FG-RT-10411756|Fund Group Org Set Reports to 10411756|All|UCSDH/Medical Center/Nursing/4200967/967
FG-RT-10411762|Fund Group Org Set Reports to 10411762|All|UCSDH/Medical Center/OPO-Tissue/4200747/747
FG-RT-10411806|Fund Group Org Set Reports to 10411806|All|UCSDH/Medical Center/EC Pharmacy/4200457/457
FG-RT-10411806|Fund Group Org Set Reports to 10411806|All|UCSDH/Medical Center/Pharmacy/4200210/210
FG-RT-10411806|Fund Group Org Set Reports to 10411806|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10411806|Fund Group Org Set Reports to 10411806|All|UCSDH/Medical Center/Pharmacy/4200765/765
FG-RT-10411806|Fund Group Org Set Reports to 10411806|All|UCSDH/Medical Center/Pharmacy/4200766/766
FG-RT-10411906|Fund Group Org Set Reports to 10411906|All|UCSDH/Medical Center/Radiology/4200619/619
FG-RT-10411906|Fund Group Org Set Reports to 10411906|All|UCSDH/Medical Center/Radiology/4200756/756
FG-RT-10411922|Fund Group Org Set Reports to 10411922|All|UCSDH/Medical Center/Pharmacy/4200210/210
FG-RT-10411922|Fund Group Org Set Reports to 10411922|All|UCSDH/Medical Center/Pharmacy/4200276/276
FG-RT-10411922|Fund Group Org Set Reports to 10411922|All|UCSDH/Medical Center/Pharmacy/4200727/727
FG-RT-10411933|Fund Group Org Set Reports to 10411933|All|UCSDH/Medical Center/CMO - Clinical Administration/4200821/821
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200152/152
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200326/326
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200634/634
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200712/712
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200717/717
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Perioperative/4200795/795
FG-RT-10411949|Fund Group Org Set Reports to 10411949|All|UCSDH/Medical Center/Radiology/4200763/763
FG-RT-10411969|Fund Group Org Set Reports to 10411969|All|UCSDH/Medical Center/Oncology/4200193/193
FG-RT-10411983|Fund Group Org Set Reports to 10411983|All|UCSDH/Medical Center/Security/4200360/360
FG-RT-10412196|Fund Group Org Set Reports to 10412196|All|UCSDH/Medical Center/Radiology/4200763/763
FG-RT-10412234|Fund Group Org Set Reports to 10412234|All|UCSDH/Health Physician Group/Faculty Practice/4310080/2856
FG-RT-10412234|Fund Group Org Set Reports to 10412234|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2499
FG-RT-10412234|Fund Group Org Set Reports to 10412234|All|UCSDH/Health Physician Group/Faculty Practice/4310095/2508
FG-RT-10412234|Fund Group Org Set Reports to 10412234|All|UCSDH/Medical Center/EJ - Outpatient Clinics/4200671/671
FG-RT-10412237|Fund Group Org Set Reports to 10412237|All|UCSDH/Medical Center/Nursing - Psychiatry/4200415/415
FG-RT-10412262|Fund Group Org Set Reports to 10412262|All|UCSDH/Medical Center/EC Procedural/4200435/435
FG-RT-10412262|Fund Group Org Set Reports to 10412262|All|UCSDH/Medical Center/EC Radiology/4200421/421
FG-RT-10412262|Fund Group Org Set Reports to 10412262|All|UCSDH/Medical Center/Radiology/4200203/203
FG-RT-10412297|Fund Group Org Set Reports to 10412297|All|UCSDH/Health Physician Group/Faculty Practice/4310100/2482
FG-RT-10412297|Fund Group Org Set Reports to 10412297|All|UCSDH/Medical Center/Lab/4200734/734
FG-RT-10412340|Fund Group Org Set Reports to 10412340|All|UCSDH/Health Physician Group/Faculty Practice/4310074/2025
FG-RT-10412340|Fund Group Org Set Reports to 10412340|All|UCSDH/Medical Center/General Hospital/4200931/931
FG-RT-10412340|Fund Group Org Set Reports to 10412340|All|UCSDH/Medical Center/Information Services/4200830/830
FG-RT-10412382|Fund Group Org Set Reports to 10412382|All|UCSDH/Health Physician Group/Faculty Practice/4310134/2461
FG-RT-10412382|Fund Group Org Set Reports to 10412382|All|UCSDH/Medical Center/Transplant/4200698/698
FG-RT-10412382|Fund Group Org Set Reports to 10412382|All|UCSDH/Medical Center/Transplant/4200745/745
FG-RT-10412382|Fund Group Org Set Reports to 10412382|All|UCSDH/Medical Center/Transplant/4200749/749
FG-RT-10412492|Fund Group Org Set Reports to 10412492|All|UCSDH/Medical Center/Compliance/4200882/882
FG-RT-10412492|Fund Group Org Set Reports to 10412492|All|UCSDH/Medical Center/Compliance/4200883/883
FG-RT-10412505|Fund Group Org Set Reports to 10412505|All|UCSDH/Medical Center/MJ - Sanford Center/4200312/312
FG-RT-10412709|Fund Group Org Set Reports to 10412709|All|UCSDH/Medical Center/Nursing/4200606/606
FG-RT-10412716|Fund Group Org Set Reports to 10412716|All|UCSDH/Health Physician Group/Faculty Practice/4310108/2530
FG-RT-10412716|Fund Group Org Set Reports to 10412716|All|UCSDH/Medical Center/Revenue Cycle/4200887/887
FG-RT-10412716|Fund Group Org Set Reports to 10412716|All|UCSDH/Medical Center/Revenue Cycle/4200898/898
FG-RT-10412829|Fund Group Org Set Reports to 10412829|All|UCSDH/Medical Center/Lab/4200723/723
FG-RT-10412836|Fund Group Org Set Reports to 10412836|All|UCSDH/Health Physician Group/Faculty Practice/4310016/2375
FG-RT-10412836|Fund Group Org Set Reports to 10412836|All|UCSDH/Medical Center/LM - Operations Support/4200239/239
FG-RT-10412836|Fund Group Org Set Reports to 10412836|All|UCSDH/Medical Center/LM - Outpatient Clinics/4200241/241
FG-RT-10412885|Fund Group Org Set Reports to 10412885|All|UCSDH/Medical Center/Supply Chain/4200496/496
FG-RT-10412887|Fund Group Org Set Reports to 10412887|All|UCSDH/Health Physician Group/Faculty Practice/4310085/2817
FG-RT-10412948|Fund Group Org Set Reports to 10412948|All|UCSDH/PHSO/MSO Admin/4441001/2862
FG-RT-10412948|Fund Group Org Set Reports to 10412948|All|UCSDH/PHSO/MSO Admin/4441002/2863
FG-RT-10412948|Fund Group Org Set Reports to 10412948|All|UCSDH/PHSO/MSO Admin/4441028/2661
FG-RT-10412948|Fund Group Org Set Reports to 10412948|All|UCSDH/PHSO/MSO Admin/4441036/2836
FG-RT-10412974|Fund Group Org Set Reports to 10412974|All|UCSDH/Health Science/Information Services/3000195/6110
FG-RT-10412974|Fund Group Org Set Reports to 10412974|All|UCSDH/Medical Center/Information Services/4200855/855
FG-RT-10412982|Fund Group Org Set Reports to 10412982|All|UCSDH/Medical Center/Nursing - Women and Infants/4200767/767
FG-RT-10412993|Fund Group Org Set Reports to 10412993|All|UCSDH/Medical Center/EJ - Operations Support/4200396/396
